Generations,Popsize,Neutral,Deleterious,Beneficial
1,10098,459,496,51
2,10079,762,823,77
3,10026,1019,1117,110
4,9978,1214,1389,123
5,9951,1371,1627,146
6,10028,1559,1772,171
7,9934,1683,1915,192
8,10111,1851,2057,200
9,9985,1943,2140,209
10,9994,2016,2264,219
11,9974,2128,2360,229
12,10059,2178,2521,239
13,9962,2239,2569,244
14,10012,2381,2671,244
15,9930,2440,2731,260
16,10102,2497,2821,281
17,10021,2548,2846,285
18,9944,2567,2942,298
19,10056,2642,3075,306
20,10015,2676,3184,299
21,10026,2722,3222,317
22,10049,2776,3278,314
23,10161,2864,3326,331
24,9869,2881,3371,319
25,10114,2942,3407,334
26,9946,3015,3409,340
27,9854,3025,3458,353
28,10004,3121,3554,357
29,10024,3113,3564,362
30,9983,3141,3555,372
31,10051,3196,3568,375
32,10007,3199,3598,372
33,9905,3262,3644,364
34,9962,3269,3732,372
35,10026,3326,3766,384
36,10008,3362,3766,388
37,9941,3403,3813,396
38,10001,3457,3854,406
39,10072,3493,3865,414
40,10046,3498,3928,425
41,10070,3521,3984,427
42,9963,3548,4070,432
43,9941,3515,4094,408
44,9996,3590,4113,412
45,9963,3617,4138,423
46,9881,3616,4117,432
47,9999,3641,4192,407
48,9994,3679,4212,410
49,9915,3731,4235,397
50,9928,3749,4227,405
51,9890,3754,4260,406
52,9960,3793,4259,413
53,9911,3804,4297,410
54,10025,3841,4363,413
55,10034,3852,4419,418
56,9963,3882,4415,415
57,10054,3919,4471,425
58,10017,3958,4500,436
59,10038,3934,4506,435
60,9916,3943,4500,441
61,9983,3980,4548,442
62,9849,4006,4540,455
63,9932,4000,4531,448
64,10088,4036,4595,450
65,9894,4041,4595,439
66,10023,4070,4592,463
67,9975,4075,4616,472
68,9917,4144,4617,471
69,9924,4128,4635,467
70,9888,4057,4654,477
71,10097,4135,4666,484
72,9993,4207,4680,485
73,9867,4215,4660,468
74,10001,4258,4722,470
75,9868,4218,4713,467
76,9925,4248,4746,485
77,9883,4247,4725,493
78,9929,4224,4756,491
79,10002,4335,4819,475
80,9995,4343,4855,482
81,9933,4338,4822,466
82,10065,4370,4859,465
83,10015,4404,4917,477
84,10007,4442,4854,479
85,9832,4468,4796,487
86,9941,4525,4825,471
87,9903,4524,4851,480
88,9841,4543,4853,476
89,9984,4591,4864,493
90,9866,4621,4849,497
91,9994,4617,4903,502
92,9869,4652,4927,476
93,9881,4679,4913,466
94,9988,4656,4927,475
95,9944,4624,4930,485
96,9895,4619,4949,475
97,9970,4618,4993,476
98,9892,4581,5000,476
99,10028,4639,5033,495
100,10005,4662,4988,499
101,9883,4658,5017,513
102,9952,4627,5006,513
103,9908,4695,5008,500
104,10005,4697,5066,500
105,10034,4773,5120,508
106,9904,4728,5144,514
107,9884,4716,5137,513
108,10014,4725,5174,518
109,9911,4819,5212,524
110,9834,4798,5186,511
111,9906,4830,5194,508
112,9952,4865,5203,525
113,9910,4862,5160,503
114,9952,4910,5198,516
115,9920,4911,5149,510
116,9767,4923,5184,523
117,9996,4940,5168,525
118,9858,4904,5179,519
119,9965,4949,5261,528
120,9953,4979,5280,521
121,9934,4951,5267,519
122,9978,4990,5292,529
123,9895,5035,5262,524
124,10003,5023,5286,530
125,9951,5055,5308,540
126,10063,5046,5334,540
127,9891,5017,5298,547
128,9887,4998,5318,553
129,9832,4965,5331,542
130,9987,4978,5318,541
131,10098,4976,5404,556
132,9931,5011,5446,569
133,9989,5011,5531,560
134,9906,5023,5460,553
135,9947,4990,5484,557
136,9956,4995,5507,543
137,9980,5009,5514,553
138,9974,5048,5488,570
139,10027,5046,5537,562
140,10110,5094,5589,573
141,9837,5075,5562,564
142,9843,5103,5610,571
143,9806,5077,5600,567
144,9906,5097,5584,575
145,9792,5103,5592,582
146,9937,5089,5598,577
147,9917,5128,5650,597
148,9843,5152,5586,585
149,9908,5182,5599,578
150,9948,5152,5652,580
151,9903,5132,5606,594
152,9929,5148,5644,566
153,9914,5132,5596,572
154,9937,5194,5623,555
155,9923,5146,5613,550
156,9970,5179,5653,538
157,10063,5156,5676,542
158,9892,5164,5692,543
159,10035,5217,5760,560
160,9934,5145,5732,563
161,10083,5211,5731,572
162,9994,5215,5783,567
163,9978,5158,5772,545
164,9988,5176,5797,540
165,9929,5155,5806,534
166,9972,5187,5795,541
167,9871,5238,5853,551
168,9937,5244,5904,561
169,9834,5228,5920,567
170,9866,5244,5910,574
171,9938,5244,5930,569
172,9922,5253,5860,581
173,9932,5271,5876,589
174,9917,5252,5900,586
175,9864,5294,5854,591
176,9887,5318,5889,611
177,9777,5332,5924,619
178,9995,5342,5910,615
179,9846,5343,5894,624
180,9864,5362,5901,614
181,9849,5383,5931,619
182,10020,5444,5952,610
183,9843,5443,5983,604
184,10057,5487,6016,607
185,9902,5500,5963,615
186,9866,5550,5966,612
187,9941,5578,5903,605
188,9946,5571,5878,591
189,9938,5576,5890,597
190,9999,5626,5927,593
191,9837,5633,5954,601
192,9916,5646,6006,592
193,9987,5644,6012,591
194,9992,5622,6062,585
195,9968,5660,6058,579
196,9842,5601,6049,607
197,9957,5590,6093,615
198,10049,5641,6113,616
199,9885,5657,6112,609
200,9838,5603,6085,642
201,9843,5627,6128,649
202,9965,5597,6110,655
203,9740,5538,6031,651
204,10009,5547,6049,653
205,9974,5558,6052,647
206,10019,5550,6073,644
207,9839,5564,6099,633
208,9794,5519,6079,626
209,9916,5594,6093,618
210,9815,5568,6094,630
211,9836,5584,6067,605
212,9901,5635,6055,611
213,9861,5599,6052,623
214,10024,5628,6037,606
215,9690,5521,5991,607
216,9989,5573,6041,616
217,9980,5602,6038,611
218,9914,5625,6050,605
219,9913,5630,6034,620
220,9987,5620,6078,618
221,10022,5621,6164,608
222,9878,5615,6126,611
223,9841,5600,6079,616
224,9977,5597,6151,609
225,10007,5647,6138,604
