pos	fix_time	rep	recomb	mut_rate	num_sub
0	1346	1	linked	1.00E-07	10
1	905	1	linked	1.00E-07	10
2	3133	1	linked	1.00E-07	10
3	1390	1	linked	1.00E-07	10
4	1999	1	linked	1.00E-07	10
5	8690	1	linked	1.00E-07	10
6	3067	1	linked	1.00E-07	10
7	1001	1	linked	1.00E-07	10
8	2555	1	linked	1.00E-07	10
9	2555	1	linked	1.00E-07	10
0	1697	2	linked	1.00E-07	10
1	1833	2	linked	1.00E-07	10
2	3186	2	linked	1.00E-07	10
3	402	2	linked	1.00E-07	10
4	5380	2	linked	1.00E-07	10
5	3320	2	linked	1.00E-07	10
6	4732	2	linked	1.00E-07	10
7	690	2	linked	1.00E-07	10
8	2223	2	linked	1.00E-07	10
9	1010	2	linked	1.00E-07	10
0	5466	3	linked	1.00E-07	10
1	784	3	linked	1.00E-07	10
2	2366	3	linked	1.00E-07	10
3	3461	3	linked	1.00E-07	10
4	2804	3	linked	1.00E-07	10
5	7184	3	linked	1.00E-07	10
6	1614	3	linked	1.00E-07	10
7	1707	3	linked	1.00E-07	10
8	952	3	linked	1.00E-07	10
9	2699	3	linked	1.00E-07	10
0	1088	4	linked	1.00E-07	10
1	3722	4	linked	1.00E-07	10
2	1895	4	linked	1.00E-07	10
3	1930	4	linked	1.00E-07	10
4	8589	4	linked	1.00E-07	10
5	1103	4	linked	1.00E-07	10
6	4759	4	linked	1.00E-07	10
7	4579	4	linked	1.00E-07	10
8	2189	4	linked	1.00E-07	10
9	2590	4	linked	1.00E-07	10
0	1126	5	linked	1.00E-07	10
1	4478	5	linked	1.00E-07	10
2	4021	5	linked	1.00E-07	10
3	7495	5	linked	1.00E-07	10
4	668	5	linked	1.00E-07	10
5	1793	5	linked	1.00E-07	10
6	1723	5	linked	1.00E-07	10
7	7312	5	linked	1.00E-07	10
8	619	5	linked	1.00E-07	10
9	4021	5	linked	1.00E-07	10
0	3725	6	linked	1.00E-07	10
1	1753	6	linked	1.00E-07	10
2	1753	6	linked	1.00E-07	10
3	1443	6	linked	1.00E-07	10
4	2096	6	linked	1.00E-07	10
5	3073	6	linked	1.00E-07	10
6	9623	6	linked	1.00E-07	10
7	4784	6	linked	1.00E-07	10
8	1029	6	linked	1.00E-07	10
9	3003	6	linked	1.00E-07	10
0	1136	7	linked	1.00E-07	10
1	4050	7	linked	1.00E-07	10
2	1502	7	linked	1.00E-07	10
3	1108	7	linked	1.00E-07	10
4	1108	7	linked	1.00E-07	10
5	4908	7	linked	1.00E-07	10
6	3230	7	linked	1.00E-07	10
7	6030	7	linked	1.00E-07	10
8	2407	7	linked	1.00E-07	10
9	2447	7	linked	1.00E-07	10
0	5757	8	linked	1.00E-07	10
1	4502	8	linked	1.00E-07	10
2	4798	8	linked	1.00E-07	10
3	1996	8	linked	1.00E-07	10
4	1100	8	linked	1.00E-07	10
5	3375	8	linked	1.00E-07	10
6	2437	8	linked	1.00E-07	10
7	1858	8	linked	1.00E-07	10
8	1826	8	linked	1.00E-07	10
9	2380	8	linked	1.00E-07	10
0	1010	9	linked	1.00E-07	10
1	1691	9	linked	1.00E-07	10
2	3273	9	linked	1.00E-07	10
3	1261	9	linked	1.00E-07	10
4	1321	9	linked	1.00E-07	10
5	821	9	linked	1.00E-07	10
6	3930	9	linked	1.00E-07	10
7	3040	9	linked	1.00E-07	10
8	6147	9	linked	1.00E-07	10
9	1413	9	linked	1.00E-07	10
0	1982	10	linked	1.00E-07	10
1	3284	10	linked	1.00E-07	10
2	2016	10	linked	1.00E-07	10
3	3394	10	linked	1.00E-07	10
4	858	10	linked	1.00E-07	10
5	465	10	linked	1.00E-07	10
6	743	10	linked	1.00E-07	10
7	2979	10	linked	1.00E-07	10
8	3395	10	linked	1.00E-07	10
9	4852	10	linked	1.00E-07	10
0	14220	1	linked	1.00E-08	5
1	10589	1	linked	1.00E-08	5
6	10925	1	linked	1.00E-08	5
8	9030	1	linked	1.00E-08	5
9	17477	1	linked	1.00E-08	5
1	954	2	linked	1.00E-08	6
4	6895	2	linked	1.00E-08	6
5	5716	2	linked	1.00E-08	6
6	4399	2	linked	1.00E-08	6
8	3980	2	linked	1.00E-08	6
9	4927	2	linked	1.00E-08	6
0	5916	3	linked	1.00E-08	5
1	10276	3	linked	1.00E-08	5
2	1854	3	linked	1.00E-08	5
5	8379	3	linked	1.00E-08	5
8	3441	3	linked	1.00E-08	5
4	5268	4	linked	1.00E-08	3
5	2844	4	linked	1.00E-08	3
9	850	4	linked	1.00E-08	3
0	2604	5	linked	1.00E-08	7
1	12580	5	linked	1.00E-08	7
2	363	5	linked	1.00E-08	7
5	8365	5	linked	1.00E-08	7
6	13860	5	linked	1.00E-08	7
7	1705	5	linked	1.00E-08	7
8	9590	5	linked	1.00E-08	7
0	13376	6	linked	1.00E-08	4
1	1613	6	linked	1.00E-08	4
7	3456	6	linked	1.00E-08	4
9	2710	6	linked	1.00E-08	4
0	3074	7	linked	1.00E-08	6
2	15892	7	linked	1.00E-08	6
3	14600	7	linked	1.00E-08	6
4	6861	7	linked	1.00E-08	6
6	2224	7	linked	1.00E-08	6
8	4606	7	linked	1.00E-08	6
1	4041	8	linked	1.00E-08	5
3	18557	8	linked	1.00E-08	5
4	6983	8	linked	1.00E-08	5
5	6725	8	linked	1.00E-08	5
7	11118	8	linked	1.00E-08	5
0	2408	9	linked	1.00E-08	8
